Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD 12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R(14);CCI;ATR;UO;;;;;;;;;;;;;;;;;;;;;
0;20100518;20124.4;20314.21;20405.82;19943.88;0.025;0.024581842;-560.44;20591.04244;20350.93672;240.1057184;608.4984416;-368.3927232;-2.6268E-08;-3.06066E-07;N;50.61535011;50.74253823;N;0.012452773;0.027905279;N;N;-52.80222995;-66.01177178;756.226782;N;;;;;;;;;;;;;;;;;;;;;
0;20100519;19906.71;19612.66;19959.34;19409.85;-0.035;-0.034534939;-1416.82;20440.52206;19555.86948;884.6525805;663.7292694;220.9233111;-1.38659E-07;-3.8023E-07;N;50.76953619;50.64833954;N;0.15959898;0;N;N;-75.35735183;-98.87459093;766.8077261;N;;;;;;;;;;;;;;;;;;;;;
1;20100520;19837.92;19282.05;19980.48;18909.59;-0.017;-0.016856969;-1596.78;20262.29559;19260.98696;1001.308629;731.2451414;270.063488;-7.26725E-09;-3.82239E-07;N;50.81180364;50.96347261;N;0.199936566;0.371270961;N;N;-84.95563003;-108.9019493;788.5278885;N;;;;;;;;;;;;;;;;;;;;;
0;20100521;19296.24;19535.91;19590.74;18937.7;0.013;0.013165613;-245.26;20150.54396;19557.05793;593.4860367;703.6933204;-110.2072837;2.27767E-07;-3.55968E-07;N;50.30881662;50.45418782;N;0;0;N;N;-75.83100309;-102.6392437;778.8501822;N;;;;;;;;;;;;;;;;;;;;;
0;20100524;19341.91;19030.49;19395.2;18899.34;-0.026;-0.025871331;-796.34;19978.22797;18989.98477;988.2431935;760.603295;227.6398984;-4.94635E-07;-4.40016E-07;N;50.33257075;50.67529897;N;0.023484952;0.212006111;N;N;-92.46995089;-114.0965017;768.6873121;N;;;;;;;;;;;;;;;;;;;;;
1;20100525;18406.74;18382.71;18480.22;18044.47;-0.034;-0.03403906;-1931.5;19732.76367;18335.99656;1396.76711;887.836058;508.9310518;-6.72186E-07;-4.58951E-07;N;50.85950868;50.95312172;N;0.544451534;0.478388517;N;N;-89.59059756;-164.8205702;784.2110755;N;;;;;;;;;;;;;;;;;;;;;
1;20100526;18725.11;18778.41;19055.14;18648.3;0.022;0.021525662;-834.25;19585.94002;18812.4418;773.4982213;864.9684906;-91.47026934;-5.8289E-07;-3.27294E-07;N;50.15238165;50.61761206;N;0;0.156694657;N;N;-77.41285234;-109.2281213;776.2267129;N;;;;;;;;;;;;;;;;;;;;;
0;20100527;18948.42;19631.87;19631.87;18881.19;0.045;0.045449002;349.82;19593.00617;19694.90294;-101.8967634;671.5954398;-773.4922033;-2.89554E-07;-2.20346E-07;N;50.51451951;50.40394274;N;0.310076875;0;N;44.35844902;-51.1474532;-56.97284838;781.7433763;51.49249825;;;;;;;;;;;;;;;;;;;;;
1;20100528;19763.49;19475.88;19763.49;19410.3;-0.008;-0.007945754;-60.03;19574.98676;19459.03208;115.9546816;560.4672882;-444.5126066;-6.27324E-08;-2.26746E-07;N;50.59406506;50.23784345;N;0.624616785;0;N;42.99431609;-55.94807609;-36.10722532;751.1324209;50.12651396;;;;;;;;;;;;;;;;;;;;;
0;20100601;19353.54;19543.97;19608.55;19346.69;0.004;0.003496119;513.48;19570.21495;19550.50369;19.71126749;452.316084;-432.6048165;-5.64359E-08;-2.24894E-07;-2.98699E-07;50.52187592;50.40291784;50.56732642;0.522528847;0.148356526;0;41.79276941;-53.85259296;-34.92824425;716.1843908;53.06876765;;;;;;;;;;;;;;;;;;;;;
0;20100602;19458.55;19279.18;19472.21;18814.22;-0.014;-0.013548424;896.47;19525.44035;19258.30895;267.1313981;415.2791468;-148.1477488;-2.54991E-07;-1.41334E-07;-2.86107E-07;50.25341095;50.17894383;50.40873455;0.142872914;0;0;41.19968091;-61.63852831;-63.89248193;717.1533629;51.0845654;;;;;;;;;;;;;;;;;;;;;
1;20100603;19102.73;19183.13;19303.46;18892.67;-0.005;-0.004982058;404.72;19472.77722;19177.347;295.4302112;391.3093597;-95.87914853;-1.02211E-07;-1.21987E-07;-2.94388E-07;50.34690717;50.45265549;50.67342085;0.275092743;0.348886706;1;40.64895587;-57.23005383;-66.18208319;695.2702655;55.33701834;;;;;;;;;;;;;;;;;;;;;
0;20100604;19605.4;19473.35;19776.71;19452.75;0.015;0.015128918;-158.52;19472.86534;19496.11946;-23.25412525;308.3966627;-331.650788;6.35673E-08;2.81857E-08;-2.65894E-07;50.41913549;50.52670779;50.73894398;0.377236092;0.443277505;1;39.25378031;-39.48885172;-11.33715871;688.0066751;59.63882337;;;;;;;;;;;;;;;;;;;;;
0;20100607;19523.82;18734.73;19586.64;18641.98;-0.038;-0.037929786;-741.15;19359.30605;18676.16158;683.1444736;383.3462249;299.7982487;-2.06657E-07;1.54252E-08;-2.57442E-07;50.44635845;50.54783433;50.61292997;0.415734074;0.47020647;0.618381542;38.78110572;-70.76841637;-79.97056701;706.3390555;51.91863606;;;;;;;;;;;;;;;;;;;;;
